date,acres,county,cause,lat,lon,binlat,binlon
Sep,0.1,LEWIS,Recreation,46.538639,-121.860306,3,4
Jun,0.1,SKAGIT,Miscellaneou,48.545449,-121.74622,1,4
Jul,0.2,SPOKANE,Debris Burn,47.814733,-117.381445,2,8
Oct,0.3,OKANOGAN,Miscellaneou,48.273724,-119.856029,1,6
Aug,4.0,STEVENS,Lightning,48.749196,-117.876794,1,8
Jul,0.1,STEVENS,Miscellaneou,47.883465,-117.661627,2,8
Jan,0.0,STEVENS,Smoker,47.883465,-117.661627,2,8
Jun,0.1,CLARK,Recreation,45.958494,-122.33106,4,3
Aug,0.2,SPOKANE,Miscellaneou,47.626035,-117.199356,2,8
Sep,0.1,LEWIS,Railroad,46.62698,-122.960738,3,3
Jun,0.1,LEWIS,Railroad,46.62698,-122.960738,3,3
May,0.1,LEWIS,Railroad,46.62698,-122.960738,3,3
Jun,0.1,LEWIS,Railroad,46.62698,-122.960738,3,3
Aug,0.1,LEWIS,Railroad,46.62698,-122.960738,3,3
May,0.2,LEWIS,Railroad,46.62698,-122.960738,3,3
Aug,0.1,LEWIS,Railroad,46.62698,-122.960738,3,3
Jun,0.3,KLICKITAT,Debris Burn,45.875247,-120.812156,4,5
Aug,0.1,COWLITZ,Recreation,46.092496,-122.315996,3,3
Jan,0.0,STEVENS,Recreation,47.837197,-117.758668,2,8
Jul,1.5,STEVENS,Miscellaneou,47.837197,-117.758668,2,8
Aug,0.0,STEVENS,Lightning,48.28699,-118.010469,1,7
Aug,4.0,LEWIS,Miscellaneou,46.525231,-122.897119,3,3
Sep,3.5,OKANOGAN,Miscellaneou,48.794148,-119.289696,1,6
Jul,0.1,SPOKANE,Recreation,47.716518,-117.333268,2,8
Aug,0.0,SPOKANE,Recreation,47.716518,-117.333268,2,8
Jul,1.5,SPOKANE,Arson,47.716518,-117.333268,2,8
Jun,0.2,SPOKANE,Children,47.716518,-117.333268,2,8
Aug,0.1,LEWIS,Debris Burn,46.670124,-123.0665,3,2
Sep,0.1,SPOKANE,Miscellaneou,48.008356,-117.309124,1,8
Jul,0.1,KITTITAS,Lightning,47.153696,-120.465442,2,5
Aug,0.0,KITTITAS,Recreation,47.153696,-120.465442,2,5
Jan,1.5,SNOHOMISH,Miscellaneou,47.871736,-121.723832,2,4
Oct,0.0,SNOHOMISH,Miscellaneou,47.871736,-121.723832,2,4
Apr,6.0,SPOKANE,Debris Burn,47.782915,-117.747217,2,8
Jul,8.0,SPOKANE,Miscellaneou,47.45792,-117.392678,2,8
May,0.0,COWLITZ,Debris Burn,46.062023,-122.297619,3,3
Aug,0.1,STEVENS,Lightning,48.486853,-117.943133,1,8
Jun,0.3,KLICKITAT,Lightning,45.942176,-120.705865,4,5
May,0.5,SPOKANE,Debris Burn,47.854877,-117.39218,2,8
May,0.7,LEWIS,Debris Burn,46.643211,-122.905591,3,3
